# sample_name: ludox_AM20
# config_id: config_10
# transmission: 0.551623
# source_nexus_file: sans-llb2026n001003.nxs
# q I I_error q_error
1.335454930521722261e-01 1.162469853030680289e+00 3.261545929459268300e-02 1.211887373863995178e-02
1.348488928703760192e-01 1.148066762124208218e+00 2.479371785287455554e-02 1.215119309686502926e-02
1.360875209069345726e-01 1.112608120433326020e+00 2.848128243550819214e-02 1.218211654667969435e-02
1.374666342123921914e-01 1.102528417891191381e+00 2.466793908359878745e-02 1.221678306659609685e-02
1.386697571615887192e-01 1.138682412326996296e+00 2.773294323996751756e-02 1.224723393548453505e-02
1.399623670803275544e-01 1.110482439410081623e+00 2.764140521795458577e-02 1.228016020079273664e-02
1.412773164023674866e-01 1.101324888771664234e+00 2.453094061754878402e-02 1.231387377192824477e-02
1.425125652029527734e-01 1.116784468248519735e+00 2.918060246573636954e-02 1.234574700915242601e-02
1.438848160387348196e-01 1.112644525485362301e+00 2.392165575420194396e-02 1.238138382794507636e-02
1.451062882377991414e-01 1.083256068423844809e+00 2.748465864200829237e-02 1.241330810255431710e-02
1.463736270313373833e-01 1.060856454162616647e+00 2.472912094785062118e-02 1.244662638206188963e-02
1.475872431110742400e-01 1.017184821533662964e+00 2.352886378134129430e-02 1.247871919986926620e-02
1.488092350765267691e-01 1.039718491549338708e+00 2.538142747881158567e-02 1.251121733977612546e-02
1.501748628149708331e-01 1.050536527903941586e+00 2.299875424463511051e-02 1.254774556481057582e-02
1.513222281798596580e-01 1.027797701570154265e+00 2.556739573659065623e-02 1.257861616469981882e-02
1.527254028972407640e-01 1.025415320911868378e+00 2.303252445638465443e-02 1.261658382147538317e-02
1.539423889312437899e-01 1.026102059625785712e+00 2.390371913686684113e-02 1.264970377503690964e-02
1.551873993795044593e-01 1.004070005714400970e+00 2.434052449777039315e-02 1.268376382591030783e-02
1.565586086333622950e-01 9.733633249301133494e-01 2.087567888433873933e-02 1.272149379099687429e-02
1.578111913680021183e-01 9.635148847476848744e-01 2.405680974148843507e-02 1.275614679118715865e-02
1.591675500938339594e-01 1.014243923893003885e+00 2.217154597525377441e-02 1.279387602499307275e-02
1.603106370551128645e-01 1.002743287405957417e+00 2.608210508295796121e-02 1.282583934528782645e-02
1.616004795481780498e-01 1.023479660352666354e+00 2.337485204840072592e-02 1.286208421432495121e-02
1.628740519531731434e-01 1.010760957491481316e+00 2.267630626811910355e-02 1.289805191694251563e-02
1.640741766182524652e-01 9.812787755247496246e-01 2.293008607386233175e-02 1.293211294236179185e-02
1.654649717525595587e-01 1.012000281959207548e+00 2.180775138539223224e-02 1.297178185870138771e-02
1.665925294719438898e-01 9.491234004238318089e-01 2.259058180635515126e-02 1.300410129399644753e-02
1.679317814342178306e-01 9.551902226850161881e-01 2.137833514617318298e-02 1.304266666391559575e-02
1.691661374349463232e-01 9.560207619650554767e-01 2.114489273269397340e-02 1.307838576346898041e-02
1.704409368391466006e-01 9.835451600096850600e-01 2.307998606518788659e-02 1.311544165427114446e-02
1.718193308545532261e-01 9.522596465449785219e-01 1.989323682587179273e-02 1.315570569973143270e-02
1.730099632949528288e-01 9.741864990095134846e-01 2.336720629640267471e-02 1.319064737590724089e-02
1.744249626479164039e-01 9.688055720648129920e-01 2.064144658672929789e-02 1.323236534375207482e-02
1.755875134539289506e-01 9.826377988254850759e-01 2.338601115406458222e-02 1.326679483900566545e-02
1.768433232429903190e-01 9.482992001585962560e-01 2.154655586829137826e-02 1.330414420545148087e-02
1.781788029433488130e-01 9.422304647671547739e-01 2.038288129604436810e-02 1.334403768802070074e-02
1.794031451629711504e-01 9.405711859495935467e-01 2.212926886150552719e-02 1.338076930882597937e-02
