# Q I dI dQ
1.819769999999999999e-01 1.653055156473636211e+00 2.049478010101449255e-02 8.325549999999999271e-03
1.847840000000000038e-01 1.676522770798492434e+00 2.077477301675243263e-02 8.453989999999999769e-03
1.875539999999999985e-01 1.687645161189238685e+00 2.076137579631410698e-02 8.580720000000000014e-03
1.903449999999999864e-01 1.680532945506878040e+00 2.033698062538183762e-02 8.708419999999999703e-03
1.931400000000000061e-01 1.667342527800148577e+00 2.030074519023656113e-02 8.836309999999999998e-03
1.959259999999999891e-01 1.676531762221605604e+00 1.994684277650999107e-02 8.670169999999999613e-03
1.987200000000000077e-01 1.690477459469824861e+00 1.991141656944488136e-02 8.793810000000000862e-03
2.015109999999999957e-01 1.675794465526341925e+00 1.956362832343513242e-02 8.710219999999999421e-03
2.043089999999999906e-01 1.683311295248786310e+00 1.973077887910528253e-02 8.831169999999999298e-03
2.071050000000000113e-01 1.684363291753004033e+00 1.960642749745288016e-02 8.952009999999999829e-03
2.099159999999999915e-01 1.665319457599729880e+00 1.912808378784278118e-02 9.073509999999999909e-03
2.127330000000000054e-01 1.662693962050741936e+00 1.905983888641532564e-02 9.195300000000000001e-03
2.155269999999999964e-01 1.666856990952048090e+00 1.910551531582922041e-02 9.316049999999999331e-03
2.183219999999999883e-01 1.668097807341638150e+00 1.886544431871287411e-02 9.436860000000000040e-03
2.211150000000000060e-01 1.677439895956015725e+00 1.912583593206453741e-02 9.557609999999999370e-03
2.238950000000000107e-01 1.660733831812114314e+00 1.874855581824424328e-02 9.677760000000000529e-03
2.266759999999999886e-01 1.680541936929991209e+00 1.857151469714982822e-02 9.797949999999999715e-03
2.294819999999999915e-01 1.666560273989319718e+00 1.828873444024686420e-02 9.919249999999999248e-03
2.323139999999999927e-01 1.658809667265938259e+00 1.833306215619381896e-02 1.004170000000000063e-02
2.351179999999999937e-01 1.661021557351729294e+00 1.840805062495599886e-02 9.852470000000000325e-03
2.378909999999999914e-01 1.681692839088451352e+00 1.832757738809490111e-02 9.968670000000000656e-03
2.406739999999999990e-01 1.649899166960983266e+00 1.790102427561552148e-02 1.008530000000000017e-02
2.434679999999999900e-01 1.635899521174086102e+00 1.782055103875442373e-02 1.013690000000000077e-02
2.462679999999999869e-01 1.649656398536933022e+00 1.769637948556428489e-02 1.025350000000000046e-02
2.490650000000000086e-01 1.655276037982540416e+00 1.766715736044712631e-02 1.036989999999999960e-02
2.518690000000000095e-01 1.660239303540900879e+00 1.763505797993381724e-02 1.048669999999999984e-02
2.546740000000000115e-01 1.678204166920618245e+00 1.765906507964544805e-02 1.060340000000000067e-02
2.574620000000000242e-01 1.686377370530309783e+00 1.755413517191707282e-02 1.064979999999999920e-02
2.602619999999999933e-01 1.675596654217856640e+00 1.726182400651435703e-02 1.076560000000000017e-02
2.630549999999999833e-01 1.698524783155934470e+00 1.738977195741194665e-02 1.088109999999999945e-02
2.658490000000000020e-01 1.685370331141656797e+00 1.701249184359165251e-02 1.099669999999999988e-02
2.686629999999999852e-01 1.700565836202579062e+00 1.710941938474948645e-02 1.089200000000000064e-02
2.714750000000000218e-01 1.669950040502910182e+00 1.685783936604853470e-02 1.100600000000000016e-02
2.742629999999999790e-01 1.690918039202360390e+00 1.707821914654747419e-02 1.111900000000000041e-02
2.770509999999999917e-01 1.715986126841325898e+00 1.705448178952923000e-02 1.123200000000000066e-02
2.798359999999999737e-01 1.686710053185489722e+00 1.682016530320518122e-02 1.134489999999999978e-02
2.826270000000000171e-01 1.682277281590794704e+00 1.670849182814207468e-02 1.145799999999999944e-02
2.854369999999999963e-01 1.687582221227448054e+00 1.661713896931428167e-02 1.157200000000000069e-02
2.882310000000000150e-01 1.710024813317425396e+00 1.670579440120818424e-02 1.168519999999999975e-02
2.910300000000000109e-01 1.708298460079734848e+00 1.639819781651341915e-02 1.147150000000000079e-02
2.938149999999999928e-01 1.701671781245474691e+00 1.646949980179928524e-02 1.158129999999999923e-02
2.966130000000000155e-01 1.681045456624317369e+00 1.611361927498786151e-02 1.169159999999999991e-02
2.994339999999999780e-01 1.692482546824017664e+00 1.627663377602604072e-02 1.180269999999999930e-02
3.022320000000000007e-01 1.689668231389657382e+00 1.606551516133346291e-02 1.191299999999999998e-02
3.050109999999999766e-01 1.687312478534058746e+00 1.609455745798836143e-02 1.202259999999999961e-02
3.077920000000000100e-01 1.708900885428304095e+00 1.609302891605915442e-02 1.213219999999999923e-02
3.106030000000000180e-01 1.709224576660370865e+00 1.589638649257846259e-02 1.224300000000000041e-02
3.134149999999999991e-01 1.730021738320674851e+00 1.618024572025498001e-02 1.235379999999999985e-02
3.162070000000000158e-01 1.716085032495568319e+00 1.585035040624004771e-02 1.246389999999999998e-02
3.189890000000000225e-01 1.717685505809677604e+00 1.577113596861476341e-02 1.257360000000000075e-02
3.217920000000000225e-01 1.712749214520655983e+00 1.552935660110695525e-02 1.268400000000000083e-02
3.245959999999999956e-01 1.703029486135533510e+00 1.573561984731852714e-02 1.279459999999999972e-02
3.273889999999999856e-01 1.716381749458296690e+00 1.566656571781090482e-02 1.290469999999999985e-02
3.301850000000000063e-01 1.716408723727635532e+00 1.557961865630846758e-02 1.301479999999999998e-02
3.329940000000000122e-01 1.750728985749848698e+00 1.574038530156840476e-02 1.312559999999999942e-02
3.357939999999999814e-01 1.686044687875129844e+00 1.522355830103478552e-02 1.323590000000000010e-02
3.385750000000000148e-01 1.734616355531403364e+00 1.546713595316519078e-02 1.334560000000000086e-02
3.413570000000000215e-01 1.845507576783684156e+00 1.661309282891344427e-02 1.345520000000000049e-02
3.441690000000000027e-01 1.800154838601854435e+00 1.728178496582515392e-02 1.356609999999999934e-02
3.469579999999999886e-01 1.806826474551679773e+00 1.815997726126910780e-02 1.367600000000000066e-02
3.497379999999999933e-01 1.788196245861602085e+00 1.857511126639501547e-02 1.378560000000000028e-02
3.525499999999999745e-01 1.783071134687208126e+00 1.883334493819956504e-02 1.389639999999999972e-02
3.553589999999999804e-01 1.771454216025248662e+00 1.953413645562458723e-02 1.400719999999999917e-02
3.581619999999999804e-01 1.796774063511377362e+00 2.020912258871537803e-02 1.411759999999999925e-02
3.609490000000000198e-01 1.770896747792244597e+00 2.047904511056678964e-02 1.422750000000000056e-02
3.637460000000000138e-01 1.781380747141969589e+00 2.079608268953017647e-02 1.433770000000000010e-02
3.665459999999999829e-01 1.769251317362570575e+00 2.141082628776405650e-02 1.444810000000000018e-02
3.693089999999999984e-01 1.774142651536027238e+00 2.175609693530217159e-02 1.455700000000000049e-02
3.721200000000000063e-01 1.795110650235477445e+00 2.241031288100200219e-02 1.466779999999999994e-02
3.749489999999999768e-01 1.773414346263876507e+00 2.290079501181460989e-02 1.477930000000000042e-02
3.777380000000000182e-01 1.770564065137064658e+00 2.348775511262940832e-02 1.488920000000000000e-02
3.805310000000000081e-01 1.797403463129285228e+00 2.400790893971482820e-02 1.499930000000000013e-02
3.833449999999999913e-01 1.768262260820143705e+00 2.434994267493227268e-02 1.511030000000000012e-02
3.861209999999999920e-01 1.775248596578922866e+00 2.532578182538310074e-02 1.488579999999999938e-02
3.888940000000000174e-01 1.789850667714389054e+00 2.548268215870445885e-02 1.499269999999999943e-02
3.917180000000000106e-01 1.812176371303897859e+00 2.624470526752881519e-02 1.510150000000000034e-02
3.945020000000000193e-01 1.767192281469700088e+00 2.696914422774095502e-02 1.520889999999999916e-02
3.973050000000000193e-01 1.803544605115445121e+00 2.697220131159936210e-02 1.531689999999999961e-02
4.001129999999999964e-01 1.788340108631409686e+00 2.832145426393191043e-02 1.542520000000000002e-02
4.028760000000000119e-01 1.810944546337420746e+00 2.945913903041622733e-02 1.529499999999999957e-02
4.056910000000000238e-01 1.782558623569768796e+00 2.909570570818991245e-02 1.540189999999999962e-02
4.084860000000000158e-01 1.836507162247599689e+00 3.149542662281094862e-02 1.550799999999999922e-02
4.112709999999999977e-01 1.797646231553335472e+00 3.141288535863386716e-02 1.561369999999999945e-02
4.140940000000000176e-01 1.805118104160215120e+00 3.283955446396909922e-02 1.572089999999999946e-02
4.168919999999999848e-01 1.799471490445268884e+00 3.384497539646160597e-02 1.582710000000000020e-02
4.197040000000000215e-01 1.781587549873567822e+00 3.406121912232858151e-02 1.593390000000000084e-02
4.224669999999999814e-01 1.805154069852666909e+00 3.720803738340644484e-02 1.603879999999999889e-02
4.252400000000000069e-01 1.792251377685552427e+00 3.696454964550716787e-02 1.614399999999999863e-02
4.280570000000000208e-01 1.764665691574955009e+00 3.909956306368231327e-02 1.625100000000000156e-02
4.308429999999999760e-01 1.889664455691488776e+00 4.096087756229860322e-02 1.635680000000000120e-02
4.336240000000000094e-01 1.908906101153248214e+00 4.445611346900412569e-02 1.646229999999999916e-02
4.364339999999999886e-01 1.857484152370162844e+00 4.426657426978267834e-02 1.656900000000000039e-02
4.392240000000000033e-01 1.812527036805303693e+00 4.965684251177813341e-02 1.667489999999999944e-02
4.420209999999999972e-01 1.846343779133190921e+00 5.113539212847521137e-02 1.678110000000000018e-02
4.447829999999999839e-01 1.937040264073736973e+00 6.108593034490769624e-02 1.688600000000000170e-02
4.476109999999999811e-01 1.915379925794588045e+00 6.129390196151073694e-02 1.699329999999999938e-02
4.504790000000000183e-01 2.230727117212734534e+00 8.805678294304011833e-02 1.710220000000000143e-02
4.531580000000000052e-01 2.422756940636472400e+00 1.109451697909588225e-01 1.720390000000000114e-02
4.560960000000000014e-01 2.507806811862072660e+00 1.518147844086607523e-01 1.731550000000000103e-02
4.588010000000000144e-01 2.995132953162030542e+00 5.912247327972804944e-01 1.741819999999999827e-02
4.613780000000000103e-01 2.906909109577551220e+00 1.663089584667712728e+00 1.751600000000000032e-02
4.639789999999999748e-01 8.706997425639144694e+00 1.259527541088200309e+01 1.761470000000000050e-02
