sample_name,config_id,mode,entity,thickness,transmission,file_path
ludox_TM50,config_8,scattering,sample,1,,sans-llb2026n000965.nxs
ludox_TM50,config_8,transmission,sample,1,,sans-llb2026n000966.nxs
ludox_TM50,config_8,transmission,sample,1,,sans-llb2026n000967.nxs
ludox_TM50,config_8,transmission,sample,1,,sans-llb2026n000968.nxs
ludox_TM50,config_8,transmission,sample,1,,sans-llb2026n000969.nxs
ludox_TM50,config_8,transmission,sample,1,,sans-llb2026n000970.nxs
ludox_TM50,config_8,scattering,sample,1,,sans-llb2026n000971.nxs
ludox_TM50,config_8,scattering,sample,1,,sans-llb2026n000972.nxs
ludox_TM50,config_8,transmission,sample,1,,sans-llb2026n000973.nxs
Cd,config_7,scattering,dark,,,sans-llb2026n000974.nxs
EB,config_7,scattering,sample,0,,sans-llb2026n000975.nxs
AgBe,config_7,scattering,sample,1,,sans-llb2026n000976.nxs
EC,config_7,scattering,sample,0,,sans-llb2026n000977.nxs
H2O,config_7,scattering,water,1,,sans-llb2026n000978.nxs
ludox_AM20,config_7,scattering,sample,1,,sans-llb2026n000979.nxs
ludox_SM30,config_7,scattering,sample,1,,sans-llb2026n000980.nxs
ludox_TM50,config_7,scattering,sample,1,,sans-llb2026n000981.nxs
Cd,config_7,scattering,dark,,,sans-llb2026n000982.nxs
EB,config_7,scattering,sample,0,,sans-llb2026n000983.nxs
AgBe,config_7,scattering,sample,1,,sans-llb2026n000984.nxs
EC,config_7,scattering,sample,0,,sans-llb2026n000985.nxs
H2O,config_7,scattering,water,1,,sans-llb2026n000986.nxs
ludox_AM20,config_7,scattering,sample,1,,sans-llb2026n000987.nxs
ludox_SM30,config_7,scattering,sample,1,,sans-llb2026n000988.nxs
ludox_TM50,config_7,scattering,sample,1,,sans-llb2026n000989.nxs
Cd,config_8,scattering,dark,,,sans-llb2026n000990.nxs
EB,config_8,transmission,sample,0,,sans-llb2026n000991.nxs
AgBe,config_8,transmission,sample,1,,sans-llb2026n000992.nxs
